tconst,titleType,primaryTitle,year,runtimeMinutes,averageRating,numVotes,d1,dn1,d2,dn2,w1,wn1,w2,wn2,w3,wn3
tt0083654,movie,Bin mei,1982,88,4.9,10,nm0156424,Pak Tong Cheuk,NA,NA,nm0436350,Ping-Hing Kam,nm0497201,Dang Lee,nm4086414,Wai-Wing Ng
tt0083659,movie,Blood Link,1982,98,5.5,293,nm0210130,Alberto De Martino,NA,NA,nm0032541,Theodore Apstein,nm0210130,Alberto De Martino,nm0211160,Massimo De Rita
tt0083660,movie,Blood Song,1982,89,5,393,nm0505420,Alan J. Levi,NA,NA,nm0267309,James Fargo,nm0043110,Frank Avianca,nm0598926,Lenny Montana
tt0083661,movie,Bloodtide,1982,97,3.7,1020,nm0420135,Richard Jefferies,NA,NA,nm0420135,Richard Jefferies,nm0557789,Nico Mastorakis,NA,NA
tt0083670,movie,Boardinghouse,1982,98,3.9,589,nm0935870,John Wintergate,NA,NA,nm0935870,John Wintergate,NA,NA,NA,NA
tt0083722,movie,Cat People,1982,118,6.1,17789,nm0001707,Paul Schrader,NA,NA,nm0090840,DeWitt Bodeen,nm0650276,Alan Ormsby,nm0001707,Paul Schrader
tt0083724,movie,El cepo,1982,86,3.6,38,nm0735633,Francisco Rodríguez Gordillo,NA,NA,nm0034957,Francisco Ariza,nm0699585,Francisco Prósper,NA,NA
tt0083767,movie,Creepshow,1982,120,6.9,38430,nm0001681,George A. Romero,NA,NA,nm0000175,Stephen King,NA,NA,NA,NA
tt0083772,tvMovie,Cry for the Strangers,1982,97,5.1,227,nm0575389,Peter Medak,NA,NA,nm0766657,John Saul,nm0270565,J.D. Feigelson,NA,NA
tt0083793,movie,Dark Sanity,1982,88,3.4,143,nm0338137,Martin Green,NA,NA,nm0383807,Larry Hilbrand,nm0683984,Phillip Pine,NA,NA
tt0083801,movie,Deadly Eyes,1982,87,4.8,1018,nm0167195,Robert Clouse,NA,NA,nm0378562,James Herbert,nm0809138,Lonon F. Smith,nm0251050,Charles H. Eglee
tt0083803,movie,Deadly Games,1982,92,3.7,207,nm0543823,Scott Mansfield,NA,NA,nm0543823,Scott Mansfield,NA,NA,NA,NA
tt0083805,movie,Death Valley,1982,87,5.5,1247,nm0724059,Dick Richards,NA,NA,nm0745330,Richard Rothstein,NA,NA,NA,NA
tt0083821,tvMovie,"I, Desire",1982,120,6.1,180,nm0610303,John Llewellyn Moxey,NA,NA,nm0288021,Robert Foster,NA,NA,NA,NA
tt0083844,tvMovie,Don't Go to Sleep,1982,93,6.7,1030,nm0485889,Richard Lang,NA,NA,nm0943989,Ned Wynn,NA,NA,NA,NA
tt0083868,movie,Early Frost,1982,92,6.8,67,nm0360362,David Hannay,NA,NA,nm0640533,Terry O'Connor,NA,NA,NA,NA
tt0083959,movie,Forbidden World,1982,77,5.2,3471,nm0392833,Allan Holzman,NA,NA,nm0192779,Tim Curnen,nm0691061,Jim Wynorski,nm0731992,R.J. Robertson
tt0083972,movie,Friday the 13th Part III,1982,95,5.7,42696,nm0591171,Steve Miner,NA,NA,nm0457725,Martin Kitrosser,nm0914536,Carol Watson,nm0589485,Victor Miller
tt0084061,movie,Hell Has No Boundary,1982,91,6.1,66,nm0160925,Kuen Yeung,NA,NA,nm0155593,Lawrence Cheng,NA,NA,NA,NA
tt0084095,tvMovie,Hotline,1982,96,6.1,187,nm0417054,Jerry Jameson,NA,NA,nm0669757,David E. Peckinpah,nm0426252,Stancil E.D. Johnson,NA,NA
tt0084096,movie,The House Where Evil Dwells,1982,88,4.5,965,nm0175428,Kevin Connor,NA,NA,nm0837610,Robert Suhosky,nm0362193,James Hardiman,NA,NA
tt0084133,movie,The Incubus,1982,93,5.4,1762,nm0396421,John Hough,NA,NA,nm0751400,Ray Russell,nm0291426,George Franklin,NA,NA
tt0084225,movie,Yin ji,1982,88,6.1,136,nm0497005,Chiu Lee,NA,NA,nm2692442,Fung Lu,NA,NA,NA,NA
tt0084298,movie,Manhattan Baby,1982,89,4.9,2056,nm0002086,Lucio Fulci,NA,NA,nm0108978,Elisa Briganti,nm0332417,Dardano Sacchetti,NA,NA
tt0084357,movie,The Living Dead Girl,1982,86,5.8,1752,nm0210811,Jean Rollin,NA,NA,nm0375318,Gregory K. Heller,nm0707700,Jacques Ralf,nm0210811,Jean Rollin
